book_id,original_title,original_author,matched_book_title,matched_seq_name,matched_first_name,matched_last_name,relevance_title,relevance_author
555649,Берсерк забытого клана. Руссия магов,Алекс Нагорный,Руссия магов,Берсерк забытого клана,Алекс,Нагорный,78.673157,22.410038
680599,Зверь,Алексей Калинин,Зверь. Том 1,Зверь [Калинин],Алексей,Калинин,21.416006,15.845385
555650,Берсерк забытого клана. Архидемоны и маги,Алекс Нагорный,Архидемоны и маги,Берсерк забытого клана,Алекс,Нагорный,78.776894,22.410038
555651,Берсерк забытого клана. Элементаль,Алекс Нагорный,Элементаль,Берсерк забытого клана,Алекс,Нагорный,61.532337,22.410038
555649,Берсерк забытого клана. Руссия магов,Алекс Нагорный,Руссия магов,Берсерк забытого клана,Алекс,Нагорный,78.673157,22.410038
699883,Смертник из рода Валевских. Книга 6,Василий Маханенко,Смертник из рода Валевских #01,Смертник из рода Валевских,Василий,Маханенко,99.631706,19.306141
695081,Крылья Мальгуса. Ступень вторая,Инди Видум,Ступень вторая,Крылья Мальгуса,Инди,Видум,53.971489,46.697304
681607,Крылья Мальгуса. Падение,Инди Видум,Падение,Крылья Мальгуса,Инди,Видум,41.612377,46.697304
563444,Берсерк забытого клана. Рекруты Магов Руссии,Алекс Нагорный,Рекруты магов Руссии,Берсерк забытого клана,Алекс,Нагорный,103.455353,22.410038
692902,Слово и чистота: Излом,Александр Зайцев,Слово и Чистота: Излом,Слово и Чистота,Александр,Зайцев,70.871292,13.190813
566237,Легион уходит в бой,Алекс Нагорный,Легион уходит в бой,Звездный спринт,Алекс,Нагорный,35.934303,22.410038
739497,Дельта. Книга 7. Пожиратель,Борис Романовский,Дельта. Том VII: Пожиратель,Владислав Ли-Вавилонский,Борис,Романовский,31.244942,17.721699
719602,Одарённый. Книга 3. Адъютант,Тим Волков,Бояръ-Аниме. Одаренный: адъютант,Ай да Пушкин!,Тим,Волков,35.411152,18.005241
699883,Смертник из рода Валевских. Книга 5,Василий Маханенко,Смертник из рода Валевских #01,Смертник из рода Валевских,Василий,Маханенко,99.631706,19.306141
